OverallRating,Comment,FeedbackCategory,Subcategory
Neutral,He then calls and is on the phone for over 30 minutes. Please email me,Uncategorized,Customer Service Interaction
Satisfied, I emailed last year and sat on hold for a time to talk to a Rep about this,Uncategorized,Customer Service Interaction
Disappointed,"Everytime I chat with someone, they end the chat before I can even respond. It is very frustrating. It happened just now with Yvonne and has happened each time I have chatted with someone on several occasions. They tell me their solution and then just end the chat. They don't even ask if there is anything else I need, or even provide a normal response time for me to respond each time they send a response or question to me. Can you please relay this along as customer service is getting a bad rep for this.",Uncategorized,Customer Service Interaction
Disappointed," The person I did chat with told me I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers I've been teaching 15 years and have placed scholastic orders each of those years. This didn't used to be so difficult.",Uncategorized,Customer Service Interaction
Neutral,The phone number to call in said it could not be completed at this time. I sent an email. I will see what happens.,Uncategorized,Customer Service Interaction
Neutral,"When I tried the chat feature for help, the session timed out and I never got help.",Uncategorized,Customer Service Interaction
Neutral,"I did not appreciate that a call back was never made from Scholastic.  I had to log in, call, send a message and finally, took me submitting a chat before I had my questions answered.",Uncategorized,Customer Service Interaction
Very Satisfied,Trying to make a payment,Uncategorized,General/Unspecified
Disappointed, I have a credit that I can't use.,Uncategorized,General/Unspecified
Very Disappointed,My shipping and payment page does not display the payment method or information necessary to make a payment.,Uncategorized,General/Unspecified
Very Satisfied,A parent wrote a check to Scholastic while the rest of the parents sent cash.  I paid for everything on my debit card.  This means I need to contact the parent who wrote a check to you and ask them to rewrite it.,Uncategorized,General/Unspecified
Very Disappointed,I s till do not know how to submit an order with money brought to me by a student that is in cash - I have to pay out of pocket up front for this?,Uncategorized,General/Unspecified
Satisfied,Also tough to gain access to the visa funds I had from last year.,Uncategorized,General/Unspecified
Satisfied,Where do I mail my payment,Uncategorized,General/Unspecified
Neutral,Plus all four kindergarten teachers had a bill for the whole school year and our PTO had paid it.  I gave you scores based on last year.,Uncategorized,General/Unspecified
Very Satisfied,"I was a little surprised to find that I could not look up the amount in my child's E-wallet without the help of Ronda, I needed to make absolute sure that my daughter wouldn't be showing up on book fair day, unable to purchase anything with her class.      Other than the ability to check the amount in your child's E-wallet easily",Uncategorized,General/Unspecified
Satisfied,I've struggled for years with the cc payment method on this site. Mostly around saving a cc/adding a new cc.,Uncategorized,General/Unspecified
Satisfied,I had to put in my card info a couple of times before it would accept it I had to enter things in a certain order.,Uncategorized,General/Unspecified
Neutral, you have to pay tax.,Uncategorized,Tax
Satisfied,I wish you would not charge tax (just have it already added in the book price). Also I miss getting a receipt with my order.,Uncategorized,Tax
Satisfied,Couldn't figure out how to order the free book,Uncategorized,General/Unspecified
Very Satisfied,"I do not see my Bonus Points for Teacher Referrals:  Briana Snyder  Alex Castellanos  Also, how do get the 300 bonus points for ordering before September 30th.  Please advise.",Uncategorized,General/Unspecified
Disappointed,entered the READS promo code for free book and got no credit or option to pick a $5 book.  Forget it.,Uncategorized,General/Unspecified
Satisfied,Lost all my Bonus Points.  sad...,Uncategorized,General/Unspecified
Satisfied,Discount code did not work,Uncategorized,General/Unspecified
Satisfied,A little difficult to apply a coupon and use it- but I figured it out.,Uncategorized,General/Unspecified
Very Satisfied, I DO wish that when I chose my free $5.00 book that I would have been given the option to choose the book,Uncategorized,General/Unspecified
Neutral,I couldn't find the place to select my $10 in free books :(,Uncategorized,General/Unspecified
Neutral,Promo code did not work for the $25.00 order and get a free $5 book. ,Uncategorized,General/Unspecified
Very Disappointed,was trying to find my Bonus Points #.    I  want to know IF I can transfer my balance of points to another Teacher  at a different school.  I am retiring & dont need them.,Uncategorized,General/Unspecified
Satisfied,I wanted to use bonus points to buy a book but the system charged instead of using the bonus points. I ended up deleting the book.  Hopefully I can order it with the bonus points next month.,Uncategorized,General/Unspecified
Neutral,"the promotion code,advertised all over the site is not working",Uncategorized,General/Unspecified
Very Satisfied,Would not let me enter free book selection on a $176.00 order.,Uncategorized,General/Unspecified
Very Disappointed,  What are thee bonus points for?,Uncategorized,General/Unspecified
Very Satisfied,"Just wondering if parents could be prompted to select a free book when their order is over $25.  I have a family that earned a free book, but didn't make a selection.  It would be nice if they could be prompted for these rewards just like teacher's have on their checkout page.",Uncategorized,General/Unspecified
Very Disappointed,signing up i did not get points or neither did the person who shared. ,Uncategorized,General/Unspecified
Very Disappointed,I have just placed my last order with your company.  You failed to honor your advertised rewards for teachers when students place orders.  ,Uncategorized,General/Unspecified
Disappointed,It would not let me spend the $5 in free books. ,Uncategorized,General/Unspecified
Very Disappointed,I am frankly disgusted by Scholastic's false promises of free books for teachers.  I am far to busy to waste my time on nonsense.  I will inform my classroom parents that Scholastic has repeatedly failed to uphold its promises to reward teachers with free books for student purchase,Uncategorized,General/Unspecified
Satisfied,I wish there are more and better options in the Bonus Catalog.,Uncategorized,General/Unspecified
Very Satisfied,Love all the opportunites to earn extra points and books!  I like when you send birthday or bonus in the summer.,Uncategorized,General/Unspecified
Satisfied,Yesterday I submitted a student online order and mailed a student order and today I had another student online order. Since my orders were submitted on different days I was not able to receive any bonus points or rewards. Is there any way to get those credits?,Uncategorized,General/Unspecified
Neutral,"I entered a discount code as offered and instructed, but it did not take.",Uncategorized,General/Unspecified
Disappointed,"Also, I lose out on bonus points and book picks!",Uncategorized,General/Unspecified
Satisfied,"When used the promotion ""READS"" to get a free book for an order over $25, I was unable",Uncategorized,General/Unspecified
Satisfied,"It was difficult to find a ""free book"".  The one I chose for $5, the website said was not eligible.  Don't know why it wasn't.",Uncategorized,General/Unspecified
Satisfied,It wouldn't let me enter my $5 free book.,Uncategorized,General/Unspecified
Neutral,Trying to apply discounts.,Uncategorized,General/Unspecified
Very Disappointed,The code says expired. ,Uncategorized,General/Unspecified
Neutral,Always have a little trouble submitting my free book selection,Uncategorized,General/Unspecified
Very Satisfied,I didn’t get the promo code to work,Uncategorized,General/Unspecified
Satisfied,The coupon code for a free book expired before the book order is even due. That’s frustrating!,Uncategorized,General/Unspecified
Satisfied,The $10 to spend right now window was not available,Uncategorized,General/Unspecified
Very Disappointed,I couldnt use the READS coupon code.,Uncategorized,READS
Very Satisfied,The READS coupon didn’t work :(,Uncategorized,READS
Satisfied,My students really like the paper flyers but we have not received any this school year.  Will they be sent in the future?,Uncategorized,Kits
Neutral, It would be nice to have received physical copies of flyers.,Uncategorized,Kits
Neutral,Looking for a connection to order flyers  sent to my school.  In previous years they were automatically sent to my school.  This year they  were not. I would like flyers for Early Childhood and Firefly.,Uncategorized,Kits
Satisfied,I didn't receive my October catalogs.  So I'm requesting them now.  I figured they would be sent out automatically each month!!!,Uncategorized,Kits
Very Satisfied,I am not sure that I fixed my problem.  I have not been receiving flyers this year. in  they will start coming!,Uncategorized,Kits
Satisfied,"I would love the flyers to be sent out again. It is a great way to help those purchase books, by seeing the item.",Uncategorized,Kits
Very Satisfied,"I still order books to use with students, but I don't need you to send me class flyers.  Is there a way for me to do this?",Uncategorized,Kits
