OverallRating,Comments,FeedbackCategory,Subcategory
4,"Most recent book order has only been partially fulfilled, and website only shows the part received. Want to confirm the rest of the order is on its way.  Will check back in a couple days.",,
3,easy process!,,
4,Just typing in Scholastic books into the Google search always wants to default me to the teacher or main site page. I have to go to a past email of a receipt to find my way back to the parent log in and search. It would be nice to have a easier landing page for parents and families.  Outside of that - it would be nice if there was a circular that showed some of the book sets that may be having a sale or even just letting you know you have a set option. Thank you for listening.,,
3,I don't understand why when i first ordered the books. The money was removed from my account. Then a couple days ago it was returned to my account.  And now today it was sent to be withdrawled again. It didnt go through because my card is locked. I have to unlock it when a transaction is being made. Can someone call me so I can get re billed. 562.380.5835,,
5,QUICK AND EASY - GOOD BOOK SELECTION,,
5,I wish you would offer hardback books to the teachers.,,
3,"Website states code READS for free book with $25 order, but when typed in it says the code has expired. Iâ€™d like some help resolving this please. Thank you!",,
5,"Very user friendly! After typing in the item number it would be great if hitting ""return"" would do the search, and I didn't have to click on the ""submit"" button. But that's being picky...really a great site!!",,
3,"First time user. Super quick and easy to create an account, find my student's class, & submit the order!!",,
3,"I have experienced difficulties in the past however, not today.  It was very easy for both of my kids' orders.",,
5,I grew up on scholastics.  Now working at a school I see 1st hand how excited the children are when they have a school sale.,,
4,I had a little trouble with the READS $5.00 free book. I thought it would apply to one that I had already put in my cart.,,
3,"Always thrilled with Scholastic before 2020 - great deals and bonus, quick turnaround and rarely out of books. Things clearly have not recovered - the benefits and bonus are so low especially to those of us with low income classrooms, and then waiting weeks for books, its very disappointing",,
3,Site is hard to navigate.,,
5,"Would be nice to see some of the content in some of the books to make sure it is at the level our grandson is reading at currently. Otherwise, this makes it easy to buy books for gifts for good work and good grades.",,
4,I'm glad I got email when my parents placed an order.,,
5,Very easy to navigate.,,
4,"I was short 5 bonus points and couldn't figure out how to pay for the 5 I was short.  It's ok, I saved it for another day.",,
3,I put in for the free book but it doesnt seem to register in the order.,,
5,Everything worked correctly and was easy to use.,,
5,Easy to navigate.,,
5,Love how easy this was to do!!,,
3,search and able to add to card feature is nice to have.,,
4,Would like to see more books shown for selections.,,
4,The book variety is scarce for fun fantasy things and more aimed at serious world problems and obstacles. I wanted fun books for my kids derived around their favorite shows and there wasn't the selection that was there when I was a kid with all of the cartoons we watched on tv.,,
5,Had to call asking if I needed to send in order form if I already placed it online - stub said I needed to include it in payment envelope.,,
5,"I really like the ease of finding books by different criteria. I like the recommendations. I like the wish lists and teacher wish lists. I like that the reading levels can be shown by the users preference. I like the option to see books in a bundle and whether they are sold separately and pricing. I like the option to see which child (and classroom) the  order is going to at checkout, and the ease of making adjustments. I like that more books can be added even after a discount code (READS) is added. Very user friendly. Thank you.",,
4,I loved that I could copy and paste the information into ClassTag for my parents.,,
3,"The $5 free book if you spend more than $25 is a very generous offer. I do wish it were possible to view a gallery of $5 books in the pop-up that asks you to select the free book. We needed to navigate out of the pop-up to the homepage (where thankfully you had a ""$5 and under"" category) to pick out the book and then re-enter the checkout process and resubmit the READS code to select the book.",,
1,unable to access ewallet/. difficult to navigate,,
5,It'd be nice to pick any book for the free book with the coupon.,,
3,I wanted to sign up for paper copies of order forms for my students. I do not want online ordering.,,
5,I had some questions on an order that arrived today.  The chat worked great and Kindra was very helpful.  Thank you for all you do for educators and families!,,
3,Digital flyers not working well,,
4,I do not like how the 1 dollar book store is not available unless a certain amount is purchased. It was so helpful for teachers to have access to that always.,,
5,Couldn't update my credit card info until I realized I hadn't chosen a shipping address.  duh,,
5,Absolutely love Scholastic!!,,
5,I LOVE ALL THE REWARDS TEACHERS GET FOR THEIR CLASSROOM WHEN PARENTS AND TEACHERS BOTH PURCHASE BOOKS!,,
5,Easy to use and browse different books,,
4,I wish you have better offers for the free pack of 5 books. It almost seems like it's just things that are not selling that you are trying to get rid of. I'd like to  seem a more diverse offering in the free book packages.,,
5,"This is my first time on this book site.  I wanted to have some books to read to my grandson.    Even though he is handicapped, I know he'll enjoy having Grandma read to him.",,
5,I love Scholastic book club,,
5,Viewing Digital fliers,,
4,It was very slow.,,
4,"I found out that I had $10 in free books, but didn't realize that I would have the opportunity to select them before check out.",,
2,Set up new account and now site won't let me in. Many problems with Scholastic as educator.,,
3,Iâ€™m not able to create an account.,,
5,good site,,
4,I have noticed that the price of books on the flyers has increased. I love that Scholastic has kept prices low for families. I hope that the cost doesn't continue to increase.,,
5,Teacher information is not correct on Scholastic site.  Teacher has called Scholastic and CS was very rude and did not help with issue.,,
1,"Awful awful awful website. No where can I create an ewallet once logged in. There's no way to navigate from clubs.scholastic.com over to accounts.scholastic.com and back. Chat support gas lighted me and tried to tell me it was my fault, that I wasn't clicking the right things, but when I asked them where this 'Printer' icon they told me to locate they had no idea what page it was on or how to get there. Supports answer was to go find the link from my school and click on that again, why would I do that when I'm already logged into the site? Clicking 'Scholastic' in the top left takes me to yet another useless page. I'll take my business over to Amazon.",,
4,I love the Scholastic Book Clubs and remember them as a child. Reading was such a fun time in my home and I hope to share this with my students.,,
5,I cannot find my access code log in information.,,
3,Search parameters need to be expanded,,
5,"It was a good experience, as always. I enjoyed the free book code as well.",,
3,Great book selections!!,,
1,I highly dislike the fact we can NOT share our child's wish list with family members that would like to purchase books,,
3,"The site is too busy. I am looking to see why I received Scholastic Story Works, but I can't find any information about it.",,
4,Having to log in frequently.,,
5,Awesome and quick!,,
4,entered through my magazine acct and it didn't let me get to  my book orders through Club Leo,,
4,I think it would be helpful to make the reading level more obvious on the books so you don't have to open each one.,,
4,A structure closely resembling the flyer would be easier to make the purchases- or more of an open structure,,
3,"I received my box with my order today. However, The paper inside that said which books went to which student only had half of my student orders on it. I looked for a second page, but there was not one in the box. Luckily, I had printed out a copy of the order and was able to consult that. But if not, I would have had a big problem.    Also, one of the books my student ordered was not in the box. The parent had reported they got some money refunded, so I'm guessing the book wasn't available, but that would have been nice of Scholastic to let us know.",,
5,Love Scholastic! I hope shipping is better this year.,,
3,I would love to see more of a Spanish selection. I teach students in Spanish and have struggled with finding new options for my classroom library.,,
5,"An order summary was not sent with my order.  I needed to log into the site to  look up my order to distribute to my class.  Is this how you will send the order? If yes, I'll know for next time.  :)",,
3,"I wanted the phone number to see if I could stop an order in order to add more  BUT when I clicked  "" call us"" it says: to send a number from here to your android phone, sign in to chrome on both devices. I had to get out of my account and google your phone number",,
5,I just wish there were less books with anthropomorphic animals.,,
