OverallRating,Comments,FeedbackCategory,Subcategory
Disappointed,"This was my second order and I thought, based on total dollars spent and the information presented, that the order qualified for $10 free books and a free group of books. I continued to choose the $10 in free books only to be charged the $10. After going back to the beginning several times, I realized I should read the small print that said the freebies were only once between August and September. If a teacher already utilized this freebie, it should not pop up and give an alert about this reward. Little hurdles like this when ordering seem to frustrate teachers. Make order user friendly please.",,
Neutral,"Website is glitchy and slow. It froze up. Also the pop-up  windows in the middle of the page are cut off on the screen and do not allow you to scroll down, (for example this survey) I had to tab down. This website needs a lot of work.",,
Very Disappointed,"I am ordering $30 worth of books, the coupon ""READS"" still shows in the banner and I can not apply y free book.",,
Very Satisfied,It is so easy to use this site.  I love that all of my points from the different book order forms can be combined!,,
Very Satisfied,"I haven't ordered yet, but I did add to my cart.",,
Neutral,the site is not all that easy to navigate unless you are trying to view a catalog or know the name of the book you are looking for,,
Very Satisfied,So easy that I didn't even need to watch the tutorial. Thank you!,,
Very Satisfied,"I couldnt pay with my international card, or my international paypal",,
Satisfied,I tried to find a book with a general description.  I was looking for a wipe-off book for help with the alphabet and numbers.,,
Neutral,I think that it should be noted that teachers should wait to enter in all their students orders at once otherwise we loose bonus points.,,
Satisfied,Flyer wouldn't load and clicking link still didn't work,,
Very Disappointed,"The site is very confusing to me.  It says it's the class page but it's hard to tell if the teacher has picked out books for the class or what.  Also, there is just too much going on on the page, it's hard to know where to go, which section to look in, etc.",,
Disappointed,Took forever to find the spot to enter my child's classroom code. Almost gave up and didn't order anything.,,
Neutral,I did not see my ewallet for the fair tomorrow,,
Very Satisfied,I entered the code for a free book but it didn't take anything off of the amount of my order.,,
Satisfied,Don't know where to find the book listed?,,
Very Satisfied,N/A,,
Very Satisfied,Reasonable prices - great selection - and bonus points that help keep our classroom library stocked with high interest books.  Thank you!,,
Neutral,It takes time to find the interesting books we want to order.,,
Satisfied,Would like to see more options for using points.,,
Very Satisfied,not buying today but usually do just compiling a list so hopefully family can buy books.  love your site- thank you!,,
Very Satisfied,I love books!  They make great gifts!,,
Neutral,more coupons  gets very expensive,,
Very Satisfied,I want to get back to Scholastic Book Clubs to help my students build their reading skills. I look forward to recving  the order forms.,,
Very Satisfied,Fair prices.,,
Very Disappointed,The search is useless.,,
Very Satisfied,had a difficult time looking for the class wishlist.,,
Satisfied,Just checking out availability of some titles before I make purchase soon,,
Disappointed,Make easier format to log in,,
Very Satisfied,easy to find the books we selected from the flyer,,
Very Satisfied,"I found some good books to order today, but I'm surprised by how the flyer is shrinking.  I'm not sure if it's smaller to include more books on a page, or if the selection is shrinking.  I hope that you continue to include quality books and a good selection each month.  I'd be really disappointed if your selection diminished.",,
Satisfied,Everything worked well.,,
Satisfied,"Not many parents are ordering books anymore.  I used to have huge book orders in the past.  Since my class didn't order 25 dollars worth, I missed out on the great coupon offers.  I don't want to add my own money to orders in order to get 10 dollars free.  Possibly add a 5 dollars free to the classroom that is under the 25 dollar mark.",,
Very Satisfied,"Your website it incredibly user friendly, easy to navigate and the deals are great!",,
Satisfied,It would be helpful to be able to search by price. I would like to have more classic titles.,,
Neutral,Need new books.   Seems like the same stuff from last year.,,
Very Satisfied,"I had to link my kiddo's new teacher and it was super easy! Thanks, Scholastic!",,
Neutral,I wish there were more hard cover books.,,
Very Disappointed,"Options to pay previous account balances online, not via telephone for ALL. Offer National Geographic novels in higher levels.",,
Satisfied,Its a good store like amazon and for school and the books are cheep,,
Very Disappointed,"Good lord, where do I put the class code in?  This is ridiculous.",,
Neutral,I found the books i want to order and i love the weekly $1 book.  i intend on placing my order on friday,,
Satisfied,I would love to get more Spanish Scholastic order forms for my class since it is a Bilingual/ Dual Immersion class. Thank you!,,
Disappointed,I USED to teach... now I'm a grandparent and just want to order books for my grandchild... the website keeps going back to my teacher account.  FRUSTRATING!,,
Very Satisfied,Easy to navigate and search for what I was looking for,,
Satisfied,"I had to re-load the page and log in 3 times before the teacher information became available to me. It did not show that I was a teacher with orders waiting. It kept showing an empty cart. In the end, using the same log in that I had used twice before, it finally showed my teacher information and allowed me to order.   Having said that, I still LOVE Scholastic.  You have been a mainstay of my classroom for so many years - I don't know what I'd do without you. 3",,
Satisfied,Couldnt find an individual book to order. It was in books of 10s.,,
Very Satisfied,Easy to order!,,
Very Satisfied,"Some of the item #'s on the catalog page didn't match the online #'s. No big deal though, I searched by name and got them quickly.",,
Neutral,Unable to find teacher resources I've used in the past to promote scholastic book clubs in my class. I don't see a ready made letter to send home or labels from front of flyers.,,
Neutral,Super easy to navigate and find what I needed!,,
Neutral,Last year it took forever to get the books that is why I gave it a 6.  Faster to go to a bookstore or library.  however pre-covid I would have given a 10 as books were delivered FAST,,
Very Satisfied,Site is easy to use/navigate.,,
Neutral,Trying to look at prices to get an estimate for a book fair.,,
Very Satisfied,I was just adding a student order today and doing a little classroom shopping.,,
Very Satisfied,I love Scholastic!!!,,
Very Disappointed,Hard to follow….almost made me quit the purchase…also should have option to purchase as a guest and give paypal option,,
Disappointed,VERINT TEST,,
Very Satisfied,I am eager to get back to book orders after supply chain delays.,,
Very Satisfied,Codes did not match my pamphlet,,
Satisfied,"Good site, only slightly confusing part is ""oh wait I have to assign a student before I can buy"" but  it makes sense.",,
Neutral,"It's not clear on your website for orders paid by check whether or not to include the paper order form.  Also, the Business Reply envelopes I'm sent with our flyer have the Scholastic Book Clubs' zip code as 45273-8504  The zip code on your website is different: 45263-0446 ... please correct.    ALSO ... why haven't we  received our regular paper flyers for October's order?",,
Satisfied,I started out on the Scholastic page and it took me a while to realize I need the Book Clubs page.,,
Disappointed,cannot find where to add my child's class code to my account,,
Disappointed,"I tried to submit my order yesterday.  When I clicked ""Submit Order"", it brought me back to the shopping cart but did not tell my why.  I tried multiple times, from different devices and it still wasn't working.  I then contacted costumer support via chat and the same thing was happening to that person.  She told me she'd put in a work order but I may not hear back for 2-3 days.  I decided to try again today and it did work.  This time, it gave me an error message in my cart telling me one of my items was out of stock.  I wish this error popped up yesterday so that I didn't have to spend my entire plan time trying to problem solve without luck.  Thankfully today it did work.",,
Disappointed,Im disappointed in the selection of books for $1 or $2.  A book for $1 popped up on my screen but it took me to a completely different section by that author. Not what I wanted.    Last year was a nightmare with Scholastic.  I'm praying its not like that again.,,
Satisfied,I wish it was easier to use bonus points.,,
Very Satisfied,I look forward to coming back as a classroom teacher. :),,
Neutral,I am unable to figure out how to submit an order.,,
Satisfied,I would say not a huge difficulty but I had to reset my password and felt like I had to log in multiple times (2 or 3?) to complete the order. Not a huge problem but slightly annoying.,,
Very Satisfied,Always user-friendly. I did not place an order today but will very soon!,,
Satisfied,search engine could use some improvement,,
