OverallRating,Comment,FeedbackCategory,Subcategory
Disappointed,"Everytime I chat with someone, they end the chat before I can even respond. It is very frustrating. It happened just now with Yvonne and has happened each time I have chatted with someone on several occasions. They tell me their solution and then just end the chat. They don't even ask if there is anything else I need, or even provide a normal response time for me to respond each time they send a response or question to me. Can you please relay this along as customer service is getting a bad rep for this. Thanks so much.",,
Disappointed,I have now filled out the request for paper flyers twice. Please follow through and send them soon.,,
Disappointed,"I simply wanted to change the number of fliers I'm receiving since I have a larger class this year. The person I did chat with told me I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers, and select catalogs. There I find I need to order specific catalogs for a one-time order. I've been teaching 15 years and have placed scholastic orders each of those years. This didn't used to be so difficult.",,
Disappointed,It would not let me spend the $5 in free books. We picked a $2 book and a $3 book but it would not let me order the two books.,,
Disappointed,Scholastic has not been helpful......we are stilled owed books from last school year.,,
Disappointed,The process of entering my students new teacher took more time than it should have and finally someone had to do it that works for scholastic.  It should be a simple process to change teachers at the beginning of the new year.,,
Disappointed,VERINT TEST,,
Disappointed,"Very frustrated-   Put $80 books in a cart, only to discover that's the ""retail side"" so I can't buy them from my son's class teacher book club.  Started over - picked $30 worth of goods, entered the READS promo code for free book and got no credit or option to pick a $5 book.  Forget it.",,
Neutral,Always have a little trouble submitting my free book selection,,
Neutral,Book fair is tomorrow and my son's school does not come up.  I want to get him an eWallet but your system will not allow it without a book fair to tie it to...,,
Neutral,Code READS is not working. About to just not bother and not order these books.,,
Neutral,"Had been calling to clarify my order. Still missing a book I ordered back on May 20, 2022.  I did not appreciate that a call back was never made from Scholastic.  I had to log in, call, send a message and finally, took me submitting a chat before I had my questions answered.",,
Neutral,I am not getting notified when a parent makes an order.  I have called about this issue and it does not get resolved.  I do get an email when the box is on its way.  But i need to know when a parent places an order,,
Neutral,"I am not so sure how to enter my students and get flyers to parents. I am going to ask a coworker to help, who has used the site this year.",,
Neutral,I am sad that there are no longer packs of 10 books for $10.  I used these packs for all students to get a free book.,,
Neutral,I couldn't find the place to select my $10 in free books :(,,
Neutral,I did not see my ewallet for the fair tomorrow,,
Neutral,"I entered a discount code as offered and instructed, but it did not take.",,
Neutral,I have parents who place book orders after I have submitted the order.  It is less than 12 hours after I have done so and the parents are told their child's order will be shipped in October.  He then calls and is on the phone for over 30 minutes.  Why do you make it so difficult to place orders?  My class order is still processing so why is it even an issue?    Please email me.  I had another parent place an order a day later.  Will that order be sent with my class order?,,
Neutral,I liked that both children's orders were combined into one billing transaction. However both children should have had the ability to take advantage of the READ free book code. But only one child was able to select a free book.,,
Neutral,"i searched the graphic novel of i survived the attacks of september 11, 2001 and nothing came up",,
Neutral,I still appreciate the tactile sense of browsing the printed Scholastic book order flyer.,,
Neutral,im still searching for books,,
Neutral,"It's not clear on your website for orders paid by check whether or not to include the paper order form.  Also, the Business Reply envelopes I'm sent with our flyer have the Scholastic Book Clubs' zip code as 45273-8504  The zip code on your website is different: 45263-0446 ... please correct.    ALSO ... why haven't we  received our regular paper flyers for October's order?",,
Neutral,Last year I stopped ordering because it was a mess.  If it goes back to the previous year I would love to use it again.  Plus all four kindergarten teachers had a bill for the whole school year and our PTO had paid it.  I gave you scores based on last year.,,
Neutral,Last year it took forever to get the books that is why I gave it a 6.  Faster to go to a bookstore or library.  however pre-covid I would have given a 10 as books were delivered FAST,,
Neutral,Looking for a connection to order flyers  sent to my school.  In previous years they were automatically sent to my school.  This year they  were not. I would like flyers for Early Childhood and Firefly.,,
Neutral,N/A,,
Neutral,need to change teacher so they get the credit,,
Neutral,"On the main Scholastic page, there should be something to tell you to go to the Book Clubs section if you have a class code.",,
Neutral,Password reset,,
Neutral,"Promo code did not work for the $25.00 order and get a free $5 book.  Also, it would have been nice to check out as a guest as I do not want to receive emails from Scholastic.",,
Neutral,Searching for book in promo list,,
Neutral,still deciding what to order,,
Neutral,the number are not the same as in the flyer.,,
Neutral,The phone number to call in said it could not be completed at this time. I sent an email. I will see what happens.,,
Neutral,"the promotion code,advertised all over the site is not working",,
Neutral,"The website is sending my 4th grader's books to my 1st grader's teacher even though I signed them in and ordered separately using their own classroom codes.  It's not a huge deal for us because my kids will both get their books either way, but I really want each teacher to get the points for the right kid.  I'd also like my 4th grader to get his own order, because it's more fun to have them delivered to you in class instead of getting them later from your little brother.  Really  frustrating!",,
Neutral,"Three parents told me they placed an order, I dont' see it.",,
Neutral,Trying to apply discounts.,,
Neutral,Trying to look at prices to get an estimate for a book fair.,,
Neutral,Unable to find teacher resources I've used in the past to promote scholastic book clubs in my class. I don't see a ready made letter to send home or labels from front of flyers.,,
Neutral,Why is tax charged for a school order?,,
Neutral,Won't let me continue to check out!,,
Neutral,you don't save .50 on books ordering online and you have to pay tax.,,
Satisfied,Couldn't figure out how to order the free book,,
Satisfied,Diana finally help me get into the sight I needed. Thank you,,
Satisfied,Discount code did not work chat bot told me to sign off and back on which was annoying,,
Satisfied,Everything worked well.,,
Satisfied,Free book selection should be larger,,
Satisfied,I am surprised that my customer number was changed.  It was the same number for years.  Why did it change and did everything from my old account merge or do I have 2 accounts?,,
Satisfied,I believe I earned some free books but did not see a place to choose those books. This is the only time this has happened. I probably didn't see it.,,
Satisfied,I couldn't send the order to the other teacher.  I have two kids in the school.,,
Satisfied,I have asked for a 4th grade flyer but have not received one- most of my parents need the paper flyer,,
Satisfied,"I have not ordered anything for 3 yrs.  I was not teaching reading.  I am again now.  So, setting up my acct.   Lost all my Bonus Points.  sad...",,
Satisfied,I logged in today because I didn't receive my October catalogs.  So I'm requesting them now.  I figured they would be sent out automatically each month!!!,,
Satisfied,I need a tax exempt button,,
Satisfied,I need to make my status inactive.  I do not need any flyers right now and need to stop them from being mailed to me at my school.,,
Satisfied,"I think it's great that we can select a child's name when we have multiple children in the Scholastic System. I like that feature in the cart and the ability to add to their wishlist. The struggle that I have with that, is that when earning free books, we may spend $25 on each child, but we would still only receive one free book. It makes it more effective for me to submit two orders so they can each pick their own free book, but I know it's more costly for you.     In addition, the books and series that my children like most were out of stock. That prompted me not to submit an order today. It seems that the books or series that my children want (and within a price range I am willing to spend with each book order) always seem to be out of stock.",,
Satisfied,I think there should be a way to import emails from google so that teachers don't have to manually enter them all in!,,
Satisfied,I want to know how to get flyers,,
Satisfied,I wanted to use bonus points to buy a book but the system charged instead of using the bonus points. I ended up deleting the book.  Hopefully I can order it with the bonus points next month.,,
Satisfied,"I was looking for a way to request paper, book order catalogs to hand out to my students.",,
Satisfied,I wish the discount books were for teachers who didn't have to spend $75.  It would benefit my class who are limited to ordering books due to budgets!,,
Satisfied,I wish there are more and better options in the Bonus Catalog.,,
Satisfied,I wish you would not charge tax (just have it already added in the book price). Also I miss getting a receipt with my order.,,
Satisfied,I work in the school library and would like to have the links to several age group flyers available in the email that gets auto created.,,
Satisfied,"I would love the flyers to be sent out again. It is a great way to help those purchase books, by seeing the item.",,
Satisfied,"I'd love Free shipping, or some bonus to get free shipping.  I can't control whether many of my students order books or not.  With a $25 minimum, I have to send the book orders home less often to be sure more kids order books, so that I don't have to pay for shipping.  I'm just not willing to spend my money to pay shipping for my students' books.    Maybe there could be a minimum order amount for individual families to order and have it sent to school or home??",,
Satisfied,"It was difficult to access the dollar books, even though I had earned them.  Also tough to gain access to the visa funds I had from last year.",,
Satisfied,It wouldn't let me enter my $5 free book.,,
Satisfied,Just deleting names from my contact list...it didn't transfer over nicely or communicate with google well.,,
Satisfied,"Last year when the orders arrived, each child's order was printed on a tear apart slip. This made it easy and efficient to sort large orders and ensure that all of the correct books were sent with each child. We also were able to send this slip with the books as a receipt showing the parent that they had received all we have record of them ordering,    This order I received had three pages of books listed and some of the student orders were in different places on different pages,    If possible, the tear apart slips or a place online to reference the orders would be great!  Thanks for all you do,  Melanie Coffelt",,
Satisfied,My child's teacher was listed at her former school. I let her know so she can update it.,,
Satisfied,My students really like the paper flyers but we have not received any this school year.  Will they be sent in the future?,,
Satisfied,N/A,,
Satisfied,Need to make sure that I will be receiving my flyers at my site this year for each month. They did not come directly to me but came in bundles with other schools from the district in it. I often missed the flyers altogether because they never arrived at our site and I would have to call scholastic to send the flyers directly to me and that took a few days for them to arrive.,,
Satisfied,none,,
Satisfied,None at this time,,
Satisfied,"Not many parents are ordering books anymore.  I used to have huge book orders in the past.  Since my class didn't order 25 dollars worth, I missed out on the great coupon offers.  I don't want to add my own money to orders in order to get 10 dollars free.  Possibly add a 5 dollars free to the classroom that is under the 25 dollar mark.",,
Satisfied,"Since the pandemic, I have not been getting the student flyers sent to school.  I REALLY want them to generate more orders.  PLEASE send them to school.  I emailed last year and sat on hold for a time to talk to a Rep about this and still have not received the paper flyers.",,
Satisfied,"Some item numbers didn’t match the flyers, but overall, easy to shop and place my order!",,
Satisfied,The $10 to spend right now window was not available and I couldn't complete my order,,
Satisfied,The coupon code for a free book expired before the book order is even due. That’s frustrating!,,
Satisfied,the email that is associated with my account isn't a valid email for some reason.  i could't change my forgotten password because the email isn't correct.,,
Satisfied,Trying to edit my order since this teacher is no longer at Pikeside Pre-K in Martinsburg WV on Winchester avenue and it won't let me.,,
